X,C0,C1,C2
0,1000000,0,0
1,999689,24931,0
2,998757,49846,0
3,997204,74730,0
4,995031,99568,0
5,992239,124344,0
6,988831,149042,0
7,984808,173648,0
8,980172,198146,0
9,974928,222521,0
10,969077,246757,0
11,962624,270840,0
12,955573,294755,0
13,947927,318487,0
14,939693,342020,0
15,930874,365341,0
16,921476,388435,0
17,911506,411287,0
18,900969,433884,0
19,889872,456211,0
20,878222,478254,0
21,866025,500000,0
22,853291,521435,0
23,840026,542546,0
24,826239,563320,0
25,811938,583744,0
26,797133,603804,0
27,781831,623490,0
28,766044,642788,0
29,749781,661686,0
30,733052,680173,0
31,715867,698237,0
32,698237,715867,0
33,680173,733052,0
34,661686,749781,0
35,642788,766044,0
36,623490,781831,0
37,603804,797133,0
38,583744,811938,0
39,563320,826239,0
40,542546,840026,0
41,521435,853291,0
42,500000,866025,0
43,478254,878222,0
44,456211,889872,0
45,433884,900969,0
46,411287,911506,0
47,388435,921476,0
48,365341,930874,0
49,342020,939693,0
50,318487,947927,0
51,294755,955573,0
52,270840,962624,0
53,246757,969077,0
54,222521,974928,0
55,198146,980172,0
56,173648,984808,0
57,149042,988831,0
58,124344,992239,0
59,99568,995031,0
60,74730,997204,0
61,49846,998757,0
62,24931,999689,0
63,0,1000000,0
64,0,1000000,0
65,0,999689,24931
66,0,998757,49846
67,0,997204,74730
68,0,995031,99568
69,0,992239,124344
70,0,988831,149042
71,0,984808,173648
72,0,980172,198146
73,0,974928,222521
74,0,969077,246757
75,0,962624,270840
76,0,955573,294755
77,0,947927,318487
78,0,939693,342020
79,0,930874,365341
80,0,921476,388435
81,0,911506,411287
82,0,900969,433884
83,0,889872,456211
84,0,878222,478254
85,0,866025,500000
86,0,853291,521435
87,0,840026,542546
88,0,826239,563320
89,0,811938,583744
90,0,797133,603804
91,0,781831,623490
92,0,766044,642788
93,0,749781,661686
94,0,733052,680173
95,0,715867,698237
96,0,698237,715867
97,0,680173,733052
98,0,661686,749781
99,0,642788,766044
100,0,623490,781831
101,0,603804,797133
102,0,583744,811938
103,0,563320,826239
104,0,542546,840026
105,0,521435,853291
106,0,500000,866025
107,0,478254,878222
108,0,456211,889872
109,0,433884,900969
110,0,411287,911506
111,0,388435,921476
112,0,365341,930874
113,0,342020,939693
114,0,318487,947927
115,0,294755,955573
116,0,270840,962624
117,0,246757,969077
118,0,222521,974928
119,0,198146,980172
120,0,173648,984808
121,0,149042,988831
122,0,124344,992239
123,0,99568,995031
124,0,74730,997204
125,0,49846,998757
126,0,24931,999689
127,0,0,1000000
